Sentence	Entities
"Hôm qua tao ăn món tôm hùm nướng với mỡ hành, ăn cực kỳ ngon và đậm đà.
"	"[{""start"": 40, ""end"": 44, ""label"": ""NGUYEN_LIEU""}, {""start"": 37, ""end"": 44, ""label"": ""NGUYEN_LIEU""}, {""start"": 19, ""end"": 22, ""label"": ""NGUYEN_LIEU""}, {""start"": 19, ""end"": 26, ""label"": ""NGUYEN_LIEU""}, {""start"": 27, ""end"": 32, ""label"": ""CACH_CHE_BIEN""}]"
"Quán đó có món gà xào sả ớt ăn rất ngon, vị cay nhẹ nhưng rất hấp dẫn.
"	"[{""start"": 15, ""end"": 17, ""label"": ""NGUYEN_LIEU""}, {""start"": 22, ""end"": 24, ""label"": ""NGUYEN_LIEU""}, {""start"": 25, ""end"": 27, ""label"": ""NGUYEN_LIEU""}, {""start"": 49, ""end"": 51, ""label"": ""NGUYEN_LIEU""}, {""start"": 62, ""end"": 65, ""label"": ""CACH_CHE_BIEN""}, {""start"": 18, ""end"": 21, ""label"": ""CACH_CHE_BIEN""}]"
"Tao nghe nói quán đó có món cá bống chiên xù, ăn với cơm nóng là hết sảy luôn.
"	"[{""start"": 69, ""end"": 71, ""label"": ""NGUYEN_LIEU""}, {""start"": 53, ""end"": 56, ""label"": ""NGUYEN_LIEU""}, {""start"": 28, ""end"": 30, ""label"": ""NGUYEN_LIEU""}, {""start"": 28, ""end"": 35, ""label"": ""NGUYEN_LIEU""}, {""start"": 36, ""end"": 41, ""label"": ""CACH_CHE_BIEN""}]"
"Quán ở gần công viên có món hủ tiếu chay, nước dùng thanh mát cực kỳ ngon.
"	"[{""start"": 42, ""end"": 46, ""label"": ""NGUYEN_LIEU""}, {""start"": 28, ""end"": 35, ""label"": ""NGUYEN_LIEU""}, {""start"": 36, ""end"": 40, ""label"": ""NGUYEN_LIEU""}, {""start"": 36, ""end"": 40, ""label"": ""CACH_CHE_BIEN""}]"
"Quán trên đường Lê Thị Riêng có món phở bò nạm, ăn cực kỳ thơm ngon.
"	"[{""start"": 10, ""end"": 15, ""label"": ""NGUYEN_LIEU""}, {""start"": 40, ""end"": 42, ""label"": ""NGUYEN_LIEU""}, {""start"": 36, ""end"": 39, ""label"": ""NGUYEN_LIEU""}]"
"Nhà hàng đó có món bò thăn nướng, ăn kèm với salad và rau mầm, cực kỳ ngon.
"	"[{""start"": 19, ""end"": 21, ""label"": ""NGUYEN_LIEU""}, {""start"": 22, ""end"": 26, ""label"": ""NGUYEN_LIEU""}, {""start"": 19, ""end"": 26, ""label"": ""NGUYEN_LIEU""}, {""start"": 27, ""end"": 32, ""label"": ""CACH_CHE_BIEN""}, {""start"": 45, ""end"": 50, ""label"": ""CACH_CHE_BIEN""}]"
"Mày thử món nấm hương nướng với gia vị đặc trưng ở quán đó chưa? Ngon lắm.
"	"[{""start"": 12, ""end"": 15, ""label"": ""NGUYEN_LIEU""}, {""start"": 12, ""end"": 21, ""label"": ""NGUYEN_LIEU""}, {""start"": 22, ""end"": 27, ""label"": ""CACH_CHE_BIEN""}]"
"Chỗ quán gần công ty có món bánh mì nướng bơ tỏi ăn kèm với rau sống tươi ngon.
"	"[{""start"": 45, ""end"": 48, ""label"": ""NGUYEN_LIEU""}, {""start"": 60, ""end"": 68, ""label"": ""NGUYEN_LIEU""}, {""start"": 42, ""end"": 44, ""label"": ""NGUYEN_LIEU""}, {""start"": 28, ""end"": 35, ""label"": ""NGUYEN_LIEU""}, {""start"": 33, ""end"": 35, ""label"": ""NGUYEN_LIEU""}, {""start"": 42, ""end"": 48, ""label"": ""NGUYEN_LIEU""}, {""start"": 36, ""end"": 41, ""label"": ""CACH_CHE_BIEN""}, {""start"": 28, ""end"": 32, ""label"": ""CACH_CHE_BIEN""}]"
"Tao thấy chỗ đó có món đậu phộng rang, ăn kèm với chả lụa rất hợp luôn.
"	"[{""start"": 23, ""end"": 32, ""label"": ""NGUYEN_LIEU""}, {""start"": 50, ""end"": 57, ""label"": ""NGUYEN_LIEU""}, {""start"": 23, ""end"": 37, ""label"": ""NGUYEN_LIEU""}, {""start"": 33, ""end"": 37, ""label"": ""CACH_CHE_BIEN""}]"
"Quán mới khai trương trên đường Nguyễn Trãi bán bò viên nướng, ăn kèm với xà lách và nước mắm pha chanh cực kỳ hấp dẫn.
"	"[{""start"": 26, ""end"": 31, ""label"": ""NGUYEN_LIEU""}, {""start"": 85, ""end"": 93, ""label"": ""NGUYEN_LIEU""}, {""start"": 98, ""end"": 103, ""label"": ""NGUYEN_LIEU""}, {""start"": 90, ""end"": 93, ""label"": ""NGUYEN_LIEU""}, {""start"": 48, ""end"": 50, ""label"": ""NGUYEN_LIEU""}, {""start"": 85, ""end"": 89, ""label"": ""NGUYEN_LIEU""}, {""start"": 48, ""end"": 55, ""label"": ""NGUYEN_LIEU""}, {""start"": 74, ""end"": 81, ""label"": ""NGUYEN_LIEU""}, {""start"": 111, ""end"": 114, ""label"": ""CACH_CHE_BIEN""}, {""start"": 56, ""end"": 61, ""label"": ""CACH_CHE_BIEN""}]"
"Hôm qua tao ăn thử món gà nướng mật ong, ăn kèm với rau cải ngọt, vị ngọt thơm cực kỳ.
"	"[{""start"": 23, ""end"": 25, ""label"": ""NGUYEN_LIEU""}, {""start"": 32, ""end"": 39, ""label"": ""NGUYEN_LIEU""}, {""start"": 52, ""end"": 59, ""label"": ""NGUYEN_LIEU""}, {""start"": 23, ""end"": 31, ""label"": ""NGUYEN_LIEU""}, {""start"": 52, ""end"": 64, ""label"": ""NGUYEN_LIEU""}, {""start"": 56, ""end"": 64, ""label"": ""NGUYEN_LIEU""}, {""start"": 26, ""end"": 31, ""label"": ""CACH_CHE_BIEN""}]"
"Quán đó có món cá ngừ nướng, ăn với rau củ xào và cơm trắng, siêu ngon luôn.
"	"[{""start"": 36, ""end"": 42, ""label"": ""NGUYEN_LIEU""}, {""start"": 50, ""end"": 53, ""label"": ""NGUYEN_LIEU""}, {""start"": 15, ""end"": 17, ""label"": ""NGUYEN_LIEU""}, {""start"": 15, ""end"": 21, ""label"": ""NGUYEN_LIEU""}, {""start"": 43, ""end"": 46, ""label"": ""CACH_CHE_BIEN""}, {""start"": 22, ""end"": 27, ""label"": ""CACH_CHE_BIEN""}]"
"Mày thử món lẩu tôm đồng với bắp cải tím chưa? Vị ngọt thanh rất hợp trong những ngày mưa.
"	"[{""start"": 82, ""end"": 84, ""label"": ""NGUYEN_LIEU""}, {""start"": 29, ""end"": 36, ""label"": ""NGUYEN_LIEU""}, {""start"": 12, ""end"": 15, ""label"": ""NGUYEN_LIEU""}, {""start"": 29, ""end"": 40, ""label"": ""NGUYEN_LIEU""}, {""start"": 16, ""end"": 19, ""label"": ""NGUYEN_LIEU""}, {""start"": 29, ""end"": 32, ""label"": ""NGUYEN_LIEU""}, {""start"": 16, ""end"": 24, ""label"": ""NGUYEN_LIEU""}, {""start"": 12, ""end"": 15, ""label"": ""CACH_CHE_BIEN""}]"
"Chỗ đó còn bán món bột chiên xù chiên giòn, ăn kèm với rau sống, siêu ngon.
"	"[{""start"": 19, ""end"": 31, ""label"": ""NGUYEN_LIEU""}, {""start"": 55, ""end"": 63, ""label"": ""NGUYEN_LIEU""}, {""start"": 23, ""end"": 28, ""label"": ""CACH_CHE_BIEN""}]"
"Tao nghe nói quán trên đường Lý Thường Kiệt bán canh cá lóc nấu rau ngổ, ăn cực kỳ thanh mát.
"	"[{""start"": 23, ""end"": 28, ""label"": ""NGUYEN_LIEU""}, {""start"": 53, ""end"": 55, ""label"": ""NGUYEN_LIEU""}, {""start"": 53, ""end"": 59, ""label"": ""NGUYEN_LIEU""}, {""start"": 64, ""end"": 71, ""label"": ""NGUYEN_LIEU""}, {""start"": 48, ""end"": 52, ""label"": ""CACH_CHE_BIEN""}]"
"Quán ở gần trường có món xào thập cẩm với đậu hà lan và cải thìa, vừa ngon vừa dễ ăn.
"	"[{""start"": 56, ""end"": 64, ""label"": ""NGUYEN_LIEU""}, {""start"": 42, ""end"": 52, ""label"": ""NGUYEN_LIEU""}, {""start"": 25, ""end"": 28, ""label"": ""CACH_CHE_BIEN""}]"
"Hôm qua tao ăn thử món mực ống nướng chấm sốt chanh, ăn với rau diếp cá cực kỳ hợp.
"	"[{""start"": 46, ""end"": 51, ""label"": ""NGUYEN_LIEU""}, {""start"": 60, ""end"": 68, ""label"": ""NGUYEN_LIEU""}, {""start"": 23, ""end"": 26, ""label"": ""NGUYEN_LIEU""}, {""start"": 69, ""end"": 71, ""label"": ""NGUYEN_LIEU""}, {""start"": 23, ""end"": 30, ""label"": ""NGUYEN_LIEU""}, {""start"": 60, ""end"": 71, ""label"": ""NGUYEN_LIEU""}, {""start"": 31, ""end"": 36, ""label"": ""CACH_CHE_BIEN""}, {""start"": 42, ""end"": 45, ""label"": ""CACH_CHE_BIEN""}]"
"Quán ở gần chợ có món hủ tiếu xào bò, ăn kèm với giá đỗ, rất ngon và dễ ăn.
"	"[{""start"": 34, ""end"": 36, ""label"": ""NGUYEN_LIEU""}, {""start"": 49, ""end"": 55, ""label"": ""NGUYEN_LIEU""}, {""start"": 22, ""end"": 29, ""label"": ""NGUYEN_LIEU""}, {""start"": 49, ""end"": 52, ""label"": ""NGUYEN_LIEU""}, {""start"": 30, ""end"": 33, ""label"": ""CACH_CHE_BIEN""}]"
"Chỗ đó bán món sườn non nướng mặn, ăn với khoai tây nướng, không thể bỏ qua.
"	"[{""start"": 42, ""end"": 51, ""label"": ""NGUYEN_LIEU""}, {""start"": 15, ""end"": 23, ""label"": ""NGUYEN_LIEU""}, {""start"": 15, ""end"": 19, ""label"": ""NGUYEN_LIEU""}, {""start"": 42, ""end"": 57, ""label"": ""NGUYEN_LIEU""}, {""start"": 42, ""end"": 45, ""label"": ""NGUYEN_LIEU""}, {""start"": 24, ""end"": 29, ""label"": ""CACH_CHE_BIEN""}, {""start"": 42, ""end"": 45, ""label"": ""CACH_CHE_BIEN""}]"
"Quán ở trên đường Nguyễn Huệ có món chả cá chiên giòn ăn với cơm trắng, cực kỳ thơm ngon.
"	"[{""start"": 12, ""end"": 17, ""label"": ""NGUYEN_LIEU""}, {""start"": 61, ""end"": 64, ""label"": ""NGUYEN_LIEU""}, {""start"": 40, ""end"": 42, ""label"": ""NGUYEN_LIEU""}, {""start"": 43, ""end"": 48, ""label"": ""CACH_CHE_BIEN""}]"
"Mày thử món canh rau củ hầm thịt bò chưa? Vị ngọt của rau củ và đậm đà của thịt bò hòa quyện với nhau.
"	"[{""start"": 17, ""end"": 23, ""label"": ""NGUYEN_LIEU""}, {""start"": 33, ""end"": 35, ""label"": ""NGUYEN_LIEU""}, {""start"": 28, ""end"": 35, ""label"": ""NGUYEN_LIEU""}, {""start"": 28, ""end"": 32, ""label"": ""NGUYEN_LIEU""}, {""start"": 24, ""end"": 27, ""label"": ""CACH_CHE_BIEN""}, {""start"": 12, ""end"": 16, ""label"": ""CACH_CHE_BIEN""}]"
"Hôm qua tao ăn món bò thăn áp chảo với sốt tiêu đen, ăn cùng với salad và bánh mì giòn.
"	"[{""start"": 43, ""end"": 47, ""label"": ""NGUYEN_LIEU""}, {""start"": 43, ""end"": 51, ""label"": ""NGUYEN_LIEU""}, {""start"": 19, ""end"": 21, ""label"": ""NGUYEN_LIEU""}, {""start"": 39, ""end"": 51, ""label"": ""NGUYEN_LIEU""}, {""start"": 22, ""end"": 26, ""label"": ""NGUYEN_LIEU""}, {""start"": 19, ""end"": 26, ""label"": ""NGUYEN_LIEU""}, {""start"": 74, ""end"": 81, ""label"": ""NGUYEN_LIEU""}, {""start"": 79, ""end"": 81, ""label"": ""NGUYEN_LIEU""}, {""start"": 27, ""end"": 34, ""label"": ""CACH_CHE_BIEN""}, {""start"": 39, ""end"": 42, ""label"": ""CACH_CHE_BIEN""}, {""start"": 65, ""end"": 70, ""label"": ""CACH_CHE_BIEN""}, {""start"": 74, ""end"": 78, ""label"": ""CACH_CHE_BIEN""}]"
"Quán mới mở gần nhà bán món tôm khô xào cà chua, ăn cực kỳ vừa miệng và thơm ngon.
"	"[{""start"": 40, ""end"": 47, ""label"": ""NGUYEN_LIEU""}, {""start"": 28, ""end"": 31, ""label"": ""NGUYEN_LIEU""}, {""start"": 28, ""end"": 35, ""label"": ""NGUYEN_LIEU""}, {""start"": 36, ""end"": 39, ""label"": ""CACH_CHE_BIEN""}]"
"Chỗ đó bán món lẩu nấm với thịt heo ba chỉ, ăn kèm với rau củ rất thanh mát.
"	"[{""start"": 19, ""end"": 22, ""label"": ""NGUYEN_LIEU""}, {""start"": 55, ""end"": 61, ""label"": ""NGUYEN_LIEU""}, {""start"": 15, ""end"": 18, ""label"": ""NGUYEN_LIEU""}, {""start"": 27, ""end"": 35, ""label"": ""NGUYEN_LIEU""}, {""start"": 27, ""end"": 42, ""label"": ""NGUYEN_LIEU""}, {""start"": 27, ""end"": 31, ""label"": ""NGUYEN_LIEU""}, {""start"": 15, ""end"": 18, ""label"": ""CACH_CHE_BIEN""}]"
"Mày có thử món bít tết thịt bò nướng với sốt BBQ chưa? Thịt bò mềm, ăn kèm với khoai tây nướng rất hợp.
"	"[{""start"": 41, ""end"": 48, ""label"": ""NGUYEN_LIEU""}, {""start"": 28, ""end"": 30, ""label"": ""NGUYEN_LIEU""}, {""start"": 79, ""end"": 88, ""label"": ""NGUYEN_LIEU""}, {""start"": 23, ""end"": 30, ""label"": ""NGUYEN_LIEU""}, {""start"": 28, ""end"": 36, ""label"": ""NGUYEN_LIEU""}, {""start"": 79, ""end"": 94, ""label"": ""NGUYEN_LIEU""}, {""start"": 79, ""end"": 82, ""label"": ""NGUYEN_LIEU""}, {""start"": 23, ""end"": 27, ""label"": ""NGUYEN_LIEU""}, {""start"": 23, ""end"": 36, ""label"": ""NGUYEN_LIEU""}, {""start"": 15, ""end"": 36, ""label"": ""NGUYEN_LIEU""}, {""start"": 31, ""end"": 36, ""label"": ""CACH_CHE_BIEN""}, {""start"": 79, ""end"": 82, ""label"": ""CACH_CHE_BIEN""}, {""start"": 41, ""end"": 44, ""label"": ""CACH_CHE_BIEN""}, {""start"": 45, ""end"": 48, ""label"": ""CACH_CHE_BIEN""}]"
"Tao nghe nói quán đó có món chả quế chiên ăn kèm với bánh bao rất thơm ngon, không thể bỏ qua.
"	"[{""start"": 53, ""end"": 61, ""label"": ""NGUYEN_LIEU""}, {""start"": 32, ""end"": 35, ""label"": ""NGUYEN_LIEU""}, {""start"": 36, ""end"": 41, ""label"": ""CACH_CHE_BIEN""}, {""start"": 53, ""end"": 57, ""label"": ""CACH_CHE_BIEN""}]"
"Quán gần công viên bán món gà xào sả ớt ăn kèm với cơm, cực kỳ hợp cho bữa trưa.
"	"[{""start"": 27, ""end"": 29, ""label"": ""NGUYEN_LIEU""}, {""start"": 34, ""end"": 36, ""label"": ""NGUYEN_LIEU""}, {""start"": 37, ""end"": 39, ""label"": ""NGUYEN_LIEU""}, {""start"": 51, ""end"": 54, ""label"": ""NGUYEN_LIEU""}, {""start"": 30, ""end"": 33, ""label"": ""CACH_CHE_BIEN""}]"
"Mày thử món cá diêu hồng kho tộ ăn với cơm trắng chưa? Mùi thơm cực kỳ hấp dẫn.
"	"[{""start"": 39, ""end"": 42, ""label"": ""NGUYEN_LIEU""}, {""start"": 12, ""end"": 14, ""label"": ""NGUYEN_LIEU""}, {""start"": 12, ""end"": 24, ""label"": ""NGUYEN_LIEU""}, {""start"": 55, ""end"": 58, ""label"": ""NGUYEN_LIEU""}, {""start"": 25, ""end"": 28, ""label"": ""NGUYEN_LIEU""}, {""start"": 71, ""end"": 74, ""label"": ""CACH_CHE_BIEN""}, {""start"": 25, ""end"": 28, ""label"": ""CACH_CHE_BIEN""}]"
"Quán đó có món mì xào rau cải và tôm tươi, ăn rất ngon và đầy đủ dinh dưỡng.
"	"[{""start"": 33, ""end"": 36, ""label"": ""NGUYEN_LIEU""}, {""start"": 33, ""end"": 41, ""label"": ""NGUYEN_LIEU""}, {""start"": 22, ""end"": 29, ""label"": ""NGUYEN_LIEU""}, {""start"": 15, ""end"": 17, ""label"": ""NGUYEN_LIEU""}, {""start"": 18, ""end"": 21, ""label"": ""CACH_CHE_BIEN""}]"
"Tao nghe nói chỗ đó có món sườn bò sốt vang ăn kèm với bánh mì, rất hợp cho bữa sáng.
"	"[{""start"": 32, ""end"": 34, ""label"": ""NGUYEN_LIEU""}, {""start"": 27, ""end"": 31, ""label"": ""NGUYEN_LIEU""}, {""start"": 27, ""end"": 34, ""label"": ""NGUYEN_LIEU""}, {""start"": 55, ""end"": 62, ""label"": ""NGUYEN_LIEU""}, {""start"": 60, ""end"": 62, ""label"": ""NGUYEN_LIEU""}, {""start"": 35, ""end"": 38, ""label"": ""CACH_CHE_BIEN""}, {""start"": 55, ""end"": 59, ""label"": ""CACH_CHE_BIEN""}]"
"Quán này có món bò viên nướng ăn kèm với dưa leo ngâm và xà lách, cực kỳ tươi mát.
"	"[{""start"": 16, ""end"": 18, ""label"": ""NGUYEN_LIEU""}, {""start"": 41, ""end"": 53, ""label"": ""NGUYEN_LIEU""}, {""start"": 41, ""end"": 48, ""label"": ""NGUYEN_LIEU""}, {""start"": 16, ""end"": 23, ""label"": ""NGUYEN_LIEU""}, {""start"": 57, ""end"": 64, ""label"": ""NGUYEN_LIEU""}, {""start"": 24, ""end"": 29, ""label"": ""CACH_CHE_BIEN""}, {""start"": 49, ""end"": 53, ""label"": ""CACH_CHE_BIEN""}]"
"Hôm qua tao ăn thử món gà chiên giòn với bắp cải xào tỏi, cực kỳ ngon và giòn.
"	"[{""start"": 23, ""end"": 25, ""label"": ""NGUYEN_LIEU""}, {""start"": 53, ""end"": 56, ""label"": ""NGUYEN_LIEU""}, {""start"": 41, ""end"": 48, ""label"": ""NGUYEN_LIEU""}, {""start"": 41, ""end"": 44, ""label"": ""NGUYEN_LIEU""}, {""start"": 26, ""end"": 31, ""label"": ""CACH_CHE_BIEN""}, {""start"": 49, ""end"": 52, ""label"": ""CACH_CHE_BIEN""}]"
"Quán đó bán món khoai tây nghiền ăn với bò bít tết, cực kỳ mềm và thơm ngon.
"	"[{""start"": 40, ""end"": 42, ""label"": ""NGUYEN_LIEU""}, {""start"": 16, ""end"": 25, ""label"": ""NGUYEN_LIEU""}, {""start"": 16, ""end"": 19, ""label"": ""NGUYEN_LIEU""}, {""start"": 16, ""end"": 19, ""label"": ""CACH_CHE_BIEN""}]"
"Mày thử món đậu hũ chiên giòn ăn với xì dầu chay chưa? Đảm bảo ngon lắm đấy.
"	"[{""start"": 37, ""end"": 43, ""label"": ""NGUYEN_LIEU""}, {""start"": 12, ""end"": 18, ""label"": ""NGUYEN_LIEU""}, {""start"": 37, ""end"": 48, ""label"": ""NGUYEN_LIEU""}, {""start"": 12, ""end"": 24, ""label"": ""NGUYEN_LIEU""}, {""start"": 44, ""end"": 48, ""label"": ""NGUYEN_LIEU""}, {""start"": 19, ""end"": 24, ""label"": ""CACH_CHE_BIEN""}, {""start"": 44, ""end"": 48, ""label"": ""CACH_CHE_BIEN""}]"
"Chỗ đó có món nấm rơm xào hành tây ăn với cơm nóng, thơm ngọt cực kỳ.
"	"[{""start"": 26, ""end"": 34, ""label"": ""NGUYEN_LIEU""}, {""start"": 14, ""end"": 17, ""label"": ""NGUYEN_LIEU""}, {""start"": 26, ""end"": 30, ""label"": ""NGUYEN_LIEU""}, {""start"": 14, ""end"": 21, ""label"": ""NGUYEN_LIEU""}, {""start"": 42, ""end"": 45, ""label"": ""NGUYEN_LIEU""}, {""start"": 22, ""end"": 25, ""label"": ""CACH_CHE_BIEN""}]"
"Tao nghe nói quán này bán canh cải thảo với thịt heo ba chỉ, ăn rất thanh mát và ngon miệng.
"	"[{""start"": 31, ""end"": 39, ""label"": ""NGUYEN_LIEU""}, {""start"": 44, ""end"": 52, ""label"": ""NGUYEN_LIEU""}, {""start"": 44, ""end"": 59, ""label"": ""NGUYEN_LIEU""}, {""start"": 44, ""end"": 48, ""label"": ""NGUYEN_LIEU""}, {""start"": 26, ""end"": 30, ""label"": ""CACH_CHE_BIEN""}]"
"Quán đó có món mực xào hành lá ăn kèm với cơm trắng, ăn thơm lừng luôn.
"	"[{""start"": 23, ""end"": 30, ""label"": ""NGUYEN_LIEU""}, {""start"": 23, ""end"": 27, ""label"": ""NGUYEN_LIEU""}, {""start"": 42, ""end"": 45, ""label"": ""NGUYEN_LIEU""}, {""start"": 15, ""end"": 18, ""label"": ""NGUYEN_LIEU""}, {""start"": 19, ""end"": 22, ""label"": ""CACH_CHE_BIEN""}]"
